Store_Dept_Date,Weekly_Sales
1_92_2012-12-07,536.25
1_93_2012-12-07,536.25
1_94_2012-12-07,536.25
1_95_2012-12-07,536.25
1_96_2012-12-07,536.25
1_97_2012-12-07,536.25
1_98_2012-12-07,536.25
1_99_2012-12-07,536.25
1_1_2012-12-14,2417.5
1_2_2012-12-14,2417.5
1_3_2012-12-14,2417.5
1_4_2012-12-14,2417.5
1_5_2012-12-14,2417.5
1_6_2012-12-14,2417.5
1_7_2012-12-14,2417.5
1_8_2012-12-14,2417.5
1_9_2012-12-14,2417.5
1_10_2012-12-14,2417.5
1_11_2012-12-14,2417.5
1_12_2012-12-14,2417.5
1_13_2012-12-14,2417.5
1_14_2012-12-14,2417.5
1_16_2012-12-14,2417.5
1_17_2012-12-14,2417.5
1_18_2012-12-14,2417.5
1_19_2012-12-14,2417.5
1_20_2012-12-14,2417.5
1_21_2012-12-14,2417.5
1_22_2012-12-14,2417.5
1_23_2012-12-14,2417.5
1_24_2012-12-14,2417.5
1_25_2012-12-14,2417.5
1_26_2012-12-14,2417.5
1_27_2012-12-14,2417.5
1_28_2012-12-14,2417.5
1_29_2012-12-14,2417.5
1_30_2012-12-14,2417.5
1_31_2012-12-14,2417.5
1_32_2012-12-14,2417.5
1_33_2012-12-14,2417.5
1_34_2012-12-14,2417.5
1_35_2012-12-14,2417.5
1_36_2012-12-14,2417.5
1_37_2012-12-14,2417.5
1_38_2012-12-14,2417.5
1_40_2012-12-14,2417.5
1_41_2012-12-14,2417.5
1_42_2012-12-14,2417.5
1_44_2012-12-14,2417.5
1_46_2012-12-14,2417.5
1_48_2012-12-14,2417.5
1_49_2012-12-14,2417.5
1_52_2012-12-14,2417.5
1_54_2012-12-14,2417.5
1_55_2012-12-14,2417.5
1_56_2012-12-14,2417.5
1_58_2012-12-14,2417.5
1_59_2012-12-14,2417.5
1_60_2012-12-14,2417.5
1_67_2012-12-14,2417.5
1_71_2012-12-14,2417.5
1_72_2012-12-14,2417.5
1_74_2012-12-14,2417.5
1_79_2012-12-14,2417.5
1_80_2012-12-14,2417.5
1_81_2012-12-14,2417.5
1_82_2012-12-14,2417.5
1_83_2012-12-14,2417.5
1_85_2012-12-14,2417.5
1_87_2012-12-14,2417.5
1_90_2012-12-14,2417.5
1_91_2012-12-14,2417.5
1_92_2012-12-14,2417.5
1_93_2012-12-14,2417.5
1_94_2012-12-14,2417.5
1_95_2012-12-14,2417.5
1_96_2012-12-14,2417.5
1_97_2012-12-14,2417.5
1_98_2012-12-14,2417.5
1_99_2012-12-14,2417.5
1_1_2012-12-21,2417.5
1_2_2012-12-21,2417.5
1_3_2012-12-21,2417.5
1_4_2012-12-21,2417.5
1_5_2012-12-21,2417.5
1_6_2012-12-21,2417.5
1_7_2012-12-21,2417.5
1_8_2012-12-21,2417.5
1_9_2012-12-21,2417.5
1_10_2012-12-21,2417.5
1_11_2012-12-21,2417.5
1_12_2012-12-21,2417.5
1_13_2012-12-21,2417.5
1_14_2012-12-21,2417.5
1_16_2012-12-21,2417.5
1_17_2012-12-21,2417.5
1_18_2012-12-21,2417.5
1_19_2012-12-21,2417.5
1_20_2012-12-21,2417.5
1_21_2012-12-21,2417.5
1_22_2012-12-21,2417.5
1_23_2012-12-21,2417.5
1_24_2012-12-21,2417.5
1_25_2012-12-21,2417.5
1_26_2012-12-21,2417.5
1_27_2012-12-21,2417.5
1_28_2012-12-21,2417.5
1_29_2012-12-21,2417.5
1_30_2012-12-21,2417.5
1_31_2012-12-21,2417.5
1_32_2012-12-21,2417.5
1_33_2012-12-21,2417.5
1_34_2012-12-21,2417.5
1_35_2012-12-21,2417.5
1_36_2012-12-21,2417.5
1_37_2012-12-21,2417.5
1_38_2012-12-21,2417.5
1_40_2012-12-21,2417.5
1_41_2012-12-21,2417.5
1_42_2012-12-21,2417.5
1_44_2012-12-21,2417.5
1_46_2012-12-21,2417.5
1_47_2012-12-21,2417.5
1_48_2012-12-21,2417.5
1_49_2012-12-21,2417.5
1_52_2012-12-21,2417.5
1_54_2012-12-21,2417.5
1_55_2012-12-21,2417.5
1_56_2012-12-21,2417.5
1_58_2012-12-21,2417.5
1_59_2012-12-21,2417.5
1_60_2012-12-21,2417.5
1_67_2012-12-21,2417.5
1_71_2012-12-21,2417.5
1_72_2012-12-21,2417.5
1_74_2012-12-21,2417.5
1_79_2012-12-21,2417.5
1_80_2012-12-21,2417.5
1_81_2012-12-21,2417.5
1_82_2012-12-21,2417.5
1_83_2012-12-21,2417.5
1_85_2012-12-21,2417.5
1_87_2012-12-21,2417.5
1_90_2012-12-21,2417.5
1_91_2012-12-21,2417.5
1_92_2012-12-21,2417.5
1_93_2012-12-21,2417.5
1_94_2012-12-21,2417.5
1_95_2012-12-21,2417.5
1_96_2012-12-21,2417.5
1_97_2012-12-21,2417.5
1_98_2012-12-21,2417.5
1_99_2012-12-21,2417.5
1_1_2012-12-28,18800.78824768327
1_2_2012-12-28,18800.78824768327
1_3_2012-12-28,18800.78824768327
1_4_2012-12-28,18800.78824768327
1_5_2012-12-28,18800.78824768327
1_6_2012-12-28,18800.78824768327
1_7_2012-12-28,18800.78824768327
1_8_2012-12-28,18800.78824768327
1_9_2012-12-28,18800.78824768327
1_10_2012-12-28,18800.78824768327
1_11_2012-12-28,18800.78824768327
1_12_2012-12-28,18800.78824768327
1_13_2012-12-28,18800.78824768327
1_14_2012-12-28,18800.78824768327
1_16_2012-12-28,18800.78824768327
1_17_2012-12-28,18800.78824768327
1_18_2012-12-28,18800.78824768327
1_19_2012-12-28,18800.78824768327
1_20_2012-12-28,18800.78824768327
1_21_2012-12-28,18800.78824768327
1_22_2012-12-28,18800.78824768327
1_23_2012-12-28,18800.78824768327
1_24_2012-12-28,18800.78824768327
1_25_2012-12-28,18800.78824768327
1_26_2012-12-28,18800.78824768327
1_27_2012-12-28,18800.78824768327
1_28_2012-12-28,18800.78824768327
1_29_2012-12-28,18800.78824768327
1_30_2012-12-28,18800.78824768327
1_31_2012-12-28,18800.78824768327
1_32_2012-12-28,18800.78824768327
1_33_2012-12-28,18800.78824768327
1_34_2012-12-28,18800.78824768327
1_35_2012-12-28,18800.78824768327
1_36_2012-12-28,18800.78824768327
1_37_2012-12-28,18800.78824768327
1_38_2012-12-28,18800.78824768327
1_40_2012-12-28,18800.78824768327
1_41_2012-12-28,18800.78824768327
1_42_2012-12-28,18800.78824768327
1_44_2012-12-28,18800.78824768327
1_46_2012-12-28,18800.78824768327
1_48_2012-12-28,18800.78824768327
1_49_2012-12-28,18800.78824768327
1_52_2012-12-28,18800.78824768327
1_54_2012-12-28,18800.78824768327
1_55_2012-12-28,18800.78824768327
1_56_2012-12-28,18800.78824768327
1_58_2012-12-28,18800.78824768327
1_59_2012-12-28,18800.78824768327
1_60_2012-12-28,18800.78824768327
1_67_2012-12-28,18800.78824768327
1_71_2012-12-28,18800.78824768327
1_72_2012-12-28,18800.78824768327
1_74_2012-12-28,18800.78824768327
1_79_2012-12-28,18800.78824768327
1_80_2012-12-28,18800.78824768327
1_81_2012-12-28,18800.78824768327
1_82_2012-12-28,18800.78824768327
1_83_2012-12-28,18800.78824768327
1_85_2012-12-28,18800.78824768327
1_87_2012-12-28,18800.78824768327
1_90_2012-12-28,18800.78824768327
1_91_2012-12-28,18800.78824768327
1_92_2012-12-28,18800.78824768327
1_93_2012-12-28,18800.78824768327
1_94_2012-12-28,18800.78824768327
1_95_2012-12-28,18800.78824768327
1_96_2012-12-28,18800.78824768327
1_97_2012-12-28,18800.78824768327
1_98_2012-12-28,18800.78824768327
1_99_2012-12-28,18800.78824768327
1_1_2013-01-04,67244.22295199995
1_2_2013-01-04,67244.22295199995
1_3_2013-01-04,67244.22295199995
1_4_2013-01-04,67244.22295199995
1_5_2013-01-04,67244.22295199995
1_6_2013-01-04,67244.22295199995
1_7_2013-01-04,67244.22295199995
1_8_2013-01-04,67244.22295199995
1_9_2013-01-04,67244.22295199995
1_10_2013-01-04,67244.22295199995
1_11_2013-01-04,67244.22295199995
1_12_2013-01-04,67244.22295199995
1_13_2013-01-04,67244.22295199995
1_14_2013-01-04,67244.22295199995
1_16_2013-01-04,67244.22295199995
1_17_2013-01-04,67244.22295199995
1_18_2013-01-04,67244.22295199995
1_19_2013-01-04,67244.22295199995
1_20_2013-01-04,67244.22295199995
1_21_2013-01-04,67244.22295199995
1_22_2013-01-04,67244.22295199995
1_23_2013-01-04,67244.22295199995
1_24_2013-01-04,67244.22295199995
1_25_2013-01-04,67244.22295199995
1_26_2013-01-04,67244.22295199995
1_27_2013-01-04,67244.22295199995
1_28_2013-01-04,67244.22295199995
1_29_2013-01-04,67244.22295199995
1_30_2013-01-04,67244.22295199995
1_31_2013-01-04,67244.22295199995
1_32_2013-01-04,67244.22295199995
1_33_2013-01-04,67244.22295199995
1_34_2013-01-04,67244.22295199995
1_35_2013-01-04,67244.22295199995
1_36_2013-01-04,67244.22295199995
1_37_2013-01-04,67244.22295199995
1_38_2013-01-04,67244.22295199995
1_40_2013-01-04,67244.22295199995
1_41_2013-01-04,67244.22295199995
1_42_2013-01-04,67244.22295199995
1_44_2013-01-04,67244.22295199995
1_46_2013-01-04,67244.22295199995
1_48_2013-01-04,67244.22295199995
1_49_2013-01-04,67244.22295199995
1_52_2013-01-04,67244.22295199995
1_54_2013-01-04,67244.22295199995
1_55_2013-01-04,67244.22295199995
1_56_2013-01-04,67244.22295199995
1_58_2013-01-04,67244.22295199995
1_59_2013-01-04,67244.22295199995
1_60_2013-01-04,67244.22295199995
1_67_2013-01-04,67244.22295199995
1_71_2013-01-04,67244.22295199995
1_72_2013-01-04,67244.22295199995
1_74_2013-01-04,67244.22295199995
1_79_2013-01-04,67244.22295199995
1_80_2013-01-04,67244.22295199995
1_81_2013-01-04,67244.22295199995
1_82_2013-01-04,67244.22295199995
1_83_2013-01-04,67244.22295199995
1_85_2013-01-04,67244.22295199995
1_87_2013-01-04,67244.22295199995
1_90_2013-01-04,67244.22295199995
1_91_2013-01-04,67244.22295199995
1_92_2013-01-04,67244.22295199995
1_93_2013-01-04,67244.22295199995
1_94_2013-01-04,67244.22295199995
1_95_2013-01-04,67244.22295199995
1_96_2013-01-04,67244.22295199995
1_97_2013-01-04,67244.22295199995
1_98_2013-01-04,67244.22295199995
1_1_2013-01-11,536.25
1_2_2013-01-11,536.25
1_3_2013-01-11,536.25
1_4_2013-01-11,536.25
1_5_2013-01-11,536.25
1_6_2013-01-11,536.25
1_7_2013-01-11,536.25
1_8_2013-01-11,536.25
1_9_2013-01-11,536.25
1_10_2013-01-11,536.25
1_11_2013-01-11,536.25
1_12_2013-01-11,536.25
1_13_2013-01-11,536.25
1_14_2013-01-11,536.25
1_16_2013-01-11,536.25
1_17_2013-01-11,536.25
1_18_2013-01-11,536.25
1_19_2013-01-11,536.25
1_20_2013-01-11,536.25
1_21_2013-01-11,536.25
1_22_2013-01-11,536.25
1_23_2013-01-11,536.25
1_24_2013-01-11,536.25
1_25_2013-01-11,536.25
1_26_2013-01-11,536.25
1_27_2013-01-11,536.25
1_28_2013-01-11,536.25
1_29_2013-01-11,536.25
1_30_2013-01-11,536.25
1_31_2013-01-11,536.25
1_32_2013-01-11,536.25
1_33_2013-01-11,536.25
1_34_2013-01-11,536.25
1_35_2013-01-11,536.25
1_36_2013-01-11,536.25
1_37_2013-01-11,536.25
1_38_2013-01-11,536.25
1_40_2013-01-11,536.25
1_41_2013-01-11,536.25
1_42_2013-01-11,536.25
1_44_2013-01-11,536.25
1_46_2013-01-11,536.25
1_48_2013-01-11,536.25
1_49_2013-01-11,536.25
1_52_2013-01-11,536.25
1_55_2013-01-11,536.25
1_56_2013-01-11,536.25
1_58_2013-01-11,536.25
1_59_2013-01-11,536.25
1_60_2013-01-11,536.25
1_67_2013-01-11,536.25
1_71_2013-01-11,536.25
1_72_2013-01-11,536.25
1_74_2013-01-11,536.25
1_79_2013-01-11,536.25
1_80_2013-01-11,536.25
1_81_2013-01-11,536.25
1_82_2013-01-11,536.25
1_83_2013-01-11,536.25
1_85_2013-01-11,536.25
1_87_2013-01-11,536.25
1_90_2013-01-11,536.25
1_91_2013-01-11,536.25
1_92_2013-01-11,536.25
1_93_2013-01-11,536.25
1_94_2013-01-11,536.25
1_95_2013-01-11,536.25
1_96_2013-01-11,536.25
1_97_2013-01-11,536.25
1_98_2013-01-11,536.25
1_1_2013-01-18,2417.5
1_2_2013-01-18,2417.5
1_3_2013-01-18,2417.5
1_4_2013-01-18,2417.5
1_5_2013-01-18,2417.5
1_6_2013-01-18,2417.5
1_7_2013-01-18,2417.5
1_8_2013-01-18,2417.5
1_9_2013-01-18,2417.5
1_10_2013-01-18,2417.5
1_11_2013-01-18,2417.5
1_12_2013-01-18,2417.5
1_13_2013-01-18,2417.5
1_14_2013-01-18,2417.5
1_16_2013-01-18,2417.5
1_17_2013-01-18,2417.5
1_18_2013-01-18,2417.5
1_19_2013-01-18,2417.5
1_20_2013-01-18,2417.5
1_21_2013-01-18,2417.5
1_22_2013-01-18,2417.5
1_23_2013-01-18,2417.5
1_24_2013-01-18,2417.5
1_25_2013-01-18,2417.5
1_26_2013-01-18,2417.5
1_27_2013-01-18,2417.5
1_28_2013-01-18,2417.5
1_29_2013-01-18,2417.5
1_30_2013-01-18,2417.5
1_31_2013-01-18,2417.5
1_32_2013-01-18,2417.5
1_33_2013-01-18,2417.5
1_34_2013-01-18,2417.5
1_35_2013-01-18,2417.5
1_36_2013-01-18,2417.5
1_37_2013-01-18,2417.5
1_38_2013-01-18,2417.5
1_40_2013-01-18,2417.5
1_41_2013-01-18,2417.5
1_42_2013-01-18,2417.5
1_44_2013-01-18,2417.5
1_45_2013-01-18,2417.5
1_46_2013-01-18,2417.5
1_48_2013-01-18,2417.5
1_49_2013-01-18,2417.5
1_52_2013-01-18,2417.5
1_54_2013-01-18,2417.5
1_55_2013-01-18,2417.5
1_56_2013-01-18,2417.5
1_58_2013-01-18,2417.5
1_59_2013-01-18,2417.5
1_60_2013-01-18,2417.5
1_67_2013-01-18,2417.5
1_71_2013-01-18,2417.5
1_72_2013-01-18,2417.5
1_74_2013-01-18,2417.5
1_79_2013-01-18,2417.5
1_80_2013-01-18,2417.5
1_81_2013-01-18,2417.5
1_82_2013-01-18,2417.5
1_83_2013-01-18,2417.5
1_85_2013-01-18,2417.5
1_87_2013-01-18,2417.5
1_90_2013-01-18,2417.5
1_91_2013-01-18,2417.5
1_92_2013-01-18,2417.5
1_93_2013-01-18,2417.5
1_94_2013-01-18,2417.5
1_95_2013-01-18,2417.5
1_96_2013-01-18,2417.5
1_97_2013-01-18,2417.5
1_98_2013-01-18,2417.5
1_1_2013-01-25,2417.5
1_2_2013-01-25,2417.5
